objectid,year,state,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,shape_length,shape_area
5159,1950,CA,CDF,LMU,PUMICE MILL,0,1950-08-22,,14,,,6455.31298828125,,1,25,25045.8675407634,26123724.4006244
8565,1950,CA,CDF,SHU,KNUDSON,0,1950-08-22,,14,,,309.273742675781,,1,261,4393.03347915381,1251586.47086748
8566,1950,CA,CDF,SHU,MULE MTN.,0,1950-08-22,,14,,,2659.49487304688,,1,264,14677.7490558493,10762593.7393355
7350,1950,CA,CDF,MMU,CHASE RANCH,0,1950-08-23,,14,,,1107.66674804688,,1,55,10349.4985341014,4482568.07087912
5167,1950,CA,CDF,TUU,DRY CREEK,0,1950-08-25,,14,,,298.119079589844,,1,749,4987.61150417848,1206445.15374972
2508,1950,CA,CDF,MMU,BLACK BURN,0,1950-08-26,,14,,,651.691162109375,,1,59,7621.03955782618,2637300.63551128
6396,1950,CA,USF,MDF,MT.VIDA,0,1950-08-26,,1,,,25.3608741760254,,1,104,1363.84899173099,102631.817358581
3587,1950,CA,CDF,AEU,STEVENS,0,1950-08-27,,14,,,313.152069091797,,1,123,5346.91585383045,1267281.40745333
7357,1950,CA,CDF,TCU,FRECERRO,0,1950-08-27,,14,,,1651.92419433594,,1,70,14923.8639799801,6685099.92648283
3595,1950,CA,CDF,MEU,UNION LUMBER CO. #4,0,1950-08-28,,14,,,423.422180175781,,1,204,6462.51765323208,1713528.70884033
8178,1950,CA,CDF,MEU,PUBLIC DOMAIN 4,0,1950-08-28,,14,,,138.730285644531,,1,202,3217.1681682336002,561421.534421583
3593,1950,CA,CDF,SCU,TROUT CREEK,0,1950-08-30,,14,,,321.732208251953,,1,9,5087.02758308151,1302004.0049741
5158,1950,CA,CDF,LNU,PUBLIC DOMAIN #2,0,1950-08-30,,14,,,4616.3203125,,1,63,24823.9539555475,18681585.1031693
5153,1950,CA,CDF,HUU,PACIFIC LUMBER CO. #7,0,1950-08-31,,14,,,1423.87573242188,,1,114,16960.9232324381,5762220.64866775
5161,1950,CA,CDF,BTU,RAMELLI,0,1950-08-31,,14,,,2178.06860351562,,1,32,13990.047945129,8814330.45292778
7361,1950,CA,CDF,TCU,JACKASS,0,1950-08-31,,14,,,710.082702636719,,1,82,7798.47063054971,2873602.6671291
7367,1950,CA,CDF,LMU,MAMMOTH,0,1950-08-31,,14,,,7061.21630859375,,1,26,26146.5260380156,28575728.3155209
2504,1950,CA,CDF,TCU,ANGELS CREEK,0,1950-09-01,,14,,,495.273620605469,,1,73,6622.41479398501,2004301.25247661
