index,time,latitude,longitude,varianceFlagged-v1_1,q05,maxDays,days at or above 32 deg,minDays,q95
58578,2038,22.625,88.375,0,215.87681904761902,244.16723047619044,252.78027210884355,265.74244395604387,270.9519047619048
58579,2039,22.625,88.375,0,217.11491428571426,244.32279047619045,253.57142857142856,264.9219307123394,270.40414285714286
58580,2040,22.625,88.375,0,217.59110476190475,243.79369523809518,252.924,266.0268331497124,271.12099319727884
58581,2041,22.625,88.375,0,217.9244380952381,246.7390349206349,253.30991647033628,266.7386118251928,273.33199999999994
58582,2042,22.625,88.375,0,216.9530476190476,244.8995238095238,253.59729570840682,265.9920095238095,273.33209523809523
58583,2043,22.625,88.375,0,217.17213333333333,244.48154285714284,255.57714285714283,265.4391428571428,275.1415238095238
58584,2044,22.625,88.375,0,214.99116190476192,244.46212698412697,256.94095238095235,264.24602857142855,276.17574149659856
58585,2045,22.625,88.375,0,214.0864,243.69665396825397,257.67901234567904,264.90608095238093,276.0397278911565
58586,2046,22.625,88.375,0,215.76257142857145,243.27250476190474,257.87654320987656,265.9153333333333,277.14865306122454
58587,2047,22.625,88.375,0,212.53407619047616,245.50970793650794,258.9082892416226,267.6825333333333,277.84259863945573
58588,2048,22.625,88.375,0,210.7150476190476,246.209,259.73721340388005,268.3015809523809,277.0816830435878
58589,2049,22.625,88.375,0,210.77226666666664,247.6587333333333,259.5905618619262,268.7354476190476,277.5569795918367
58590,2050,22.625,88.375,0,209.41992380952382,248.31486666666663,259.01106589562363,269.56877142857144,278.50242176870745
58591,2051,22.625,88.375,0,210.42942857142856,250.34661904761901,259.2552380952381,271.00932224741746,281.00617687074833
58592,2052,22.625,88.375,0,212.96274285714284,250.7778857142857,259.99142857142857,271.12402116402114,282.2170884353741
58593,2053,22.625,88.375,0,214.6771238095238,250.8483809523809,260.50857142857143,271.8631494079113,282.72721088435367
58594,2054,22.625,88.375,0,215.61049523809518,251.67729523809516,261.79863945578234,272.681370622323,284.62522448979587
58595,2055,22.625,88.375,0,217.0866857142857,251.86381428571426,262.1066666666666,272.64451499118167,287.19665306122454
58596,2056,22.625,88.375,0,217.93432380952382,253.12041428571428,262.50857142857143,273.40902998236334,289.62560544217683
58597,2057,22.625,88.375,0,218.26765714285716,253.71092970521542,262.96,274.2322953451043,290.7617142857143
58598,2058,22.625,88.375,0,218.04857142857142,254.3132275132275,264.5019047619048,274.31492063492055,290.58499319727883
58599,2059,22.625,88.375,0,217.75325714285717,254.98264550264545,265.73482993197274,275.11660952380953,290.58499319727883
58600,2060,22.625,88.375,0,218.16281904761902,255.8119123204837,266.2311111111111,275.41010476190473,291.5713333333333
58601,2061,22.625,88.375,0,218.7913714285714,256.50956916099767,267.407619047619,276.01068571428567,291.1424761904761
58602,2062,22.625,88.375,0,219.05807619047616,256.43120181405897,268.2373333333333,276.9551809523809,291.5440136054422
58603,2063,22.625,88.375,0,220.2009333333333,257.49296044343663,269.21822222222215,276.13445958219796,293.2037551020408
58604,2064,22.625,88.375,0,221.18182857142855,257.91313681027964,269.5239727424817,276.0966497988841,294.230693877551
58605,2065,22.625,88.375,0,222.2294476190476,258.1063643235072,269.78132778389846,276.5713714285713,295.6524353741497
58606,2066,22.625,88.375,0,221.2104380952381,257.714164777022,270.06666666666666,276.67055714285715,297.2305986394557
58607,2067,22.625,88.375,0,220.76285714285714,257.8821466364324,271.31972789115645,278.0555333333333,298.0196326530612
58608,2068,22.625,88.375,0,222.47714285714284,257.5038246409675,272.98639455782313,278.77773333333334,300.1080408163265
58609,2069,22.625,88.375,0,224.16281904761902,256.7139229024944,273.59006211180116,280.50396666666666,300.9240136054421
58610,2070,22.625,88.375,0,224.72464761904757,256.34397581254717,274.3402537485582,281.5991857142857,301.4069387755102
58611,2071,22.625,88.375,0,226.6008,257.0106424792139,273.3040039545229,281.75924761904764,302.4409931972789
58612,2072,22.625,88.375,0,226.1056,256.60683295540434,273.74180952380954,282.1825238095238,302.94431292517004
58613,2073,22.625,88.375,0,226.83889523809518,257.4922146636432,274.2428571428572,282.7103095238095,303.8489795918367
58614,2074,22.625,88.375,0,229.8388,257.7863038548753,274.47276190476185,282.2142761904762,304.53546938775503
58615,2075,22.625,88.375,0,233.12451428571427,257.81417989417986,273.6520146520146,282.9285428571428,303.6238775510203
58616,2076,22.625,88.375,0,233.43883809523808,258.13626606198034,273.23266821724405,283.59914761904764,303.6783265306122
58617,2077,22.625,88.375,0,235.10550476190477,258.5594557823129,274.2454945054945,283.8015523809524,304.24985034013605
58618,2078,22.625,88.375,0,235.23885714285709,258.7721844293273,274.18446886446884,283.57539523809515,302.49224761904753
58619,2079,22.625,88.375,0,235.66742857142856,258.2149962207105,274.7619047619048,283.91665238095237,305.06620408163263
58620,2080,22.625,88.375,0,236.68653333333333,258.0586243386243,274.55250945955595,285.32538095238095,305.34939047619037
58621,2081,22.625,88.375,0,237.096,257.4900680272109,274.0484757621189,285.42456666666664,305.36830476190465
58622,2082,22.625,88.375,0,238.47695238095238,257.949387755102,273.37238873751136,286.29759523809525,305.70154285714284
58623,2083,22.625,88.375,0,238.91502857142856,257.6216780045351,273.82182985553766,286.6719428571428,306.11081904761903
58624,2084,22.625,88.375,0,240.17213333333333,256.58506424792137,273.8957823129251,287.5925714285714,305.9299428571428
58625,2085,22.625,88.375,0,240.01026666666667,256.12,274.5095238095238,288.1454571428572,306.3585142857142
58626,2086,22.625,88.375,0,240.3054857142857,256.4058352229781,275.04761904761904,289.53698095238093,306.5108761904761
58627,2087,22.625,88.375,0,240.93403809523807,256.6186848072562,275.4295238095238,289.85179047619044,306.9203428571428
58628,2088,22.625,88.375,0,241.42923809523808,256.2712320483749,275.7691156462585,289.6507619047619,308.2155619047618
58629,2089,22.625,88.375,0,243.17203809523807,256.63555555555547,274.847790390519,290.6560380952381,307.6629523809523
